vc	V(vout)	d(V(Vout))
3.130000000000002e-01	2.500000e+00	0.000000e+00
3.140000000000002e-01	2.500000e+00	0.000000e+00
3.150000000000002e-01	2.500000e+00	0.000000e+00
3.160000000000002e-01	2.500000e+00	0.000000e+00
3.170000000000002e-01	2.500000e+00	0.000000e+00
3.180000000000002e-01	2.500000e+00	0.000000e+00
3.190000000000002e-01	2.500000e+00	0.000000e+00
3.200000000000002e-01	2.500000e+00	0.000000e+00
3.210000000000002e-01	2.500000e+00	0.000000e+00
3.220000000000002e-01	2.500000e+00	0.000000e+00
3.230000000000002e-01	2.500000e+00	0.000000e+00
3.240000000000002e-01	2.500000e+00	0.000000e+00
3.250000000000002e-01	2.500000e+00	0.000000e+00
3.260000000000002e-01	2.500000e+00	0.000000e+00
3.270000000000002e-01	2.500000e+00	0.000000e+00
3.280000000000002e-01	2.500000e+00	0.000000e+00
3.290000000000002e-01	2.500000e+00	0.000000e+00
3.300000000000002e-01	2.500000e+00	0.000000e+00
3.310000000000002e-01	2.500000e+00	0.000000e+00
3.320000000000002e-01	2.500000e+00	0.000000e+00
3.330000000000002e-01	2.500000e+00	0.000000e+00
3.340000000000002e-01	2.500000e+00	0.000000e+00
3.350000000000002e-01	2.500000e+00	0.000000e+00
3.360000000000002e-01	2.500000e+00	0.000000e+00
3.370000000000002e-01	2.500000e+00	0.000000e+00
3.380000000000002e-01	2.500000e+00	0.000000e+00
3.390000000000002e-01	2.500000e+00	0.000000e+00
3.400000000000002e-01	2.500000e+00	0.000000e+00
3.410000000000002e-01	2.500000e+00	0.000000e+00
3.420000000000002e-01	2.500000e+00	0.000000e+00
3.430000000000002e-01	2.500000e+00	0.000000e+00
3.440000000000003e-01	2.500000e+00	0.000000e+00
3.450000000000003e-01	2.500000e+00	0.000000e+00
3.460000000000003e-01	2.500000e+00	0.000000e+00
3.470000000000003e-01	2.500000e+00	0.000000e+00
3.480000000000003e-01	2.500000e+00	0.000000e+00
3.490000000000003e-01	2.500000e+00	0.000000e+00
3.500000000000003e-01	2.500000e+00	0.000000e+00
3.510000000000003e-01	2.500000e+00	0.000000e+00
3.520000000000003e-01	2.500000e+00	0.000000e+00
3.530000000000003e-01	2.500000e+00	0.000000e+00
3.540000000000003e-01	2.500000e+00	0.000000e+00
3.550000000000003e-01	2.500000e+00	0.000000e+00
3.560000000000003e-01	2.500000e+00	0.000000e+00
3.570000000000003e-01	2.500000e+00	0.000000e+00
3.580000000000003e-01	2.500000e+00	0.000000e+00
3.590000000000003e-01	2.500000e+00	0.000000e+00
3.600000000000003e-01	2.500000e+00	0.000000e+00
3.610000000000003e-01	2.500000e+00	0.000000e+00
3.620000000000003e-01	2.500000e+00	0.000000e+00
3.630000000000003e-01	2.500000e+00	0.000000e+00
3.640000000000003e-01	2.500000e+00	0.000000e+00
3.650000000000003e-01	2.500000e+00	0.000000e+00
3.660000000000003e-01	2.500000e+00	0.000000e+00
3.670000000000003e-01	2.500000e+00	0.000000e+00
3.680000000000003e-01	2.500000e+00	0.000000e+00
3.690000000000003e-01	2.500000e+00	0.000000e+00
3.700000000000003e-01	2.500000e+00	0.000000e+00
3.710000000000003e-01	2.500000e+00	0.000000e+00
3.720000000000003e-01	2.500000e+00	0.000000e+00
3.730000000000003e-01	2.500000e+00	0.000000e+00
3.740000000000003e-01	2.500000e+00	0.000000e+00
3.750000000000003e-01	2.500000e+00	0.000000e+00
3.760000000000003e-01	2.500000e+00	0.000000e+00
3.770000000000003e-01	2.500000e+00	0.000000e+00
3.780000000000003e-01	2.500000e+00	0.000000e+00
3.790000000000003e-01	2.500000e+00	0.000000e+00
3.800000000000003e-01	2.500000e+00	0.000000e+00
3.810000000000003e-01	2.500000e+00	0.000000e+00
3.820000000000003e-01	2.500000e+00	0.000000e+00
3.830000000000003e-01	2.500000e+00	0.000000e+00
3.840000000000003e-01	2.500000e+00	0.000000e+00
3.850000000000003e-01	2.500000e+00	0.000000e+00
3.860000000000003e-01	2.500000e+00	0.000000e+00
3.870000000000003e-01	2.500000e+00	0.000000e+00
3.880000000000003e-01	2.500000e+00	0.000000e+00
3.890000000000003e-01	2.500000e+00	0.000000e+00
3.900000000000003e-01	2.500000e+00	0.000000e+00
3.910000000000003e-01	2.500000e+00	0.000000e+00
3.920000000000003e-01	2.500000e+00	0.000000e+00
3.930000000000003e-01	2.500000e+00	0.000000e+00
3.940000000000003e-01	2.500000e+00	0.000000e+00
3.950000000000003e-01	2.500000e+00	0.000000e+00
3.960000000000003e-01	2.500000e+00	0.000000e+00
3.970000000000003e-01	2.500000e+00	0.000000e+00
3.980000000000003e-01	2.500000e+00	0.000000e+00
3.990000000000003e-01	2.500000e+00	0.000000e+00
4.000000000000003e-01	2.500000e+00	-1.192093e-04
4.010000000000003e-01	2.500000e+00	-5.960464e-04
4.020000000000003e-01	2.499999e+00	-1.192093e-03
4.030000000000003e-01	2.499997e+00	-1.668930e-03
4.040000000000003e-01	2.499995e+00	-2.145767e-03
4.050000000000003e-01	2.499993e+00	-2.741814e-03
4.060000000000003e-01	2.499990e+00	-3.457069e-03
4.070000000000003e-01	2.499986e+00	-3.933907e-03
4.080000000000003e-01	2.499982e+00	-4.410744e-03
4.090000000000003e-01	2.499977e+00	-5.125999e-03
4.100000000000003e-01	2.499972e+00	-5.722046e-03
4.110000000000003e-01	2.499966e+00	-6.198883e-03
4.120000000000003e-01	2.499959e+00	-6.675720e-03
4.130000000000003e-01	2.499953e+00	-7.271767e-03
4.140000000000003e-01	2.499945e+00	-7.987022e-03
4.150000000000003e-01	2.499937e+00	-8.463860e-03
4.160000000000003e-01	2.499928e+00	-9.059906e-03
4.170000000000003e-01	2.499918e+00	-9.655952e-03
4.180000000000003e-01	2.499909e+00	-1.013279e-02
4.190000000000003e-01	2.499898e+00	-1.084805e-02
4.200000000000003e-01	2.499887e+00	-1.144409e-02
4.210000000000003e-01	2.499875e+00	-1.192093e-02
4.220000000000003e-01	2.499863e+00	-1.251698e-02
4.230000000000003e-01	2.499850e+00	-1.311302e-02
4.240000000000003e-01	2.499837e+00	-1.358986e-02
4.250000000000003e-01	2.499823e+00	-1.418591e-02
4.260000000000003e-01	2.499809e+00	-1.490116e-02
4.270000000000003e-01	2.499793e+00	-1.549721e-02
4.280000000000003e-01	2.499778e+00	-1.597404e-02
4.290000000000003e-01	2.499761e+00	-1.657009e-02
4.300000000000003e-01	2.499744e+00	-1.728535e-02
4.310000000000003e-01	2.499727e+00	-1.776218e-02
4.320000000000003e-01	2.499709e+00	-1.835823e-02
4.330000000000003e-01	2.499690e+00	-1.907349e-02
4.340000000000003e-01	2.499671e+00	-1.955032e-02
4.350000000000003e-01	2.499651e+00	-2.014637e-02
4.360000000000003e-01	2.499630e+00	-2.074242e-02
4.370000000000003e-01	2.499609e+00	-2.133846e-02
4.380000000000003e-01	2.499588e+00	-2.193451e-02
4.390000000000003e-01	2.499566e+00	-2.253056e-02
4.400000000000003e-01	2.499543e+00	-2.312660e-02
4.410000000000003e-01	2.499519e+00	-2.372265e-02
4.420000000000003e-01	2.499495e+00	-2.431870e-02
4.430000000000003e-01	2.499471e+00	-2.491474e-02
4.440000000000003e-01	2.499445e+00	-2.563000e-02
4.450000000000003e-01	2.499419e+00	-2.622604e-02
4.460000000000003e-01	2.499393e+00	-2.670288e-02
4.470000000000003e-01	2.499366e+00	-2.729893e-02
4.480000000000003e-01	2.499338e+00	-2.801418e-02
4.490000000000003e-01	2.499310e+00	-2.861023e-02
4.500000000000003e-01	2.499281e+00	-2.920628e-02
4.510000000000003e-01	2.499252e+00	-2.980232e-02
4.520000000000003e-01	2.499222e+00	-3.039837e-02
4.530000000000003e-01	2.499191e+00	-3.111362e-02
4.540000000000003e-01	2.499159e+00	-3.170967e-02
4.550000000000003e-01	2.499127e+00	-3.218651e-02
4.560000000000003e-01	2.499095e+00	-3.290176e-02
4.570000000000004e-01	2.499062e+00	-3.349781e-02
4.580000000000004e-01	2.499028e+00	-3.409386e-02
4.590000000000004e-01	2.498993e+00	-3.480911e-02
4.600000000000004e-01	2.498958e+00	-3.540516e-02
4.610000000000004e-01	2.498923e+00	-3.600121e-02
4.620000000000004e-01	2.498886e+00	-3.659725e-02
4.630000000000004e-01	2.498849e+00	-3.719330e-02
4.640000000000004e-01	2.498812e+00	-3.790855e-02
4.650000000000004e-01	2.498774e+00	-3.850460e-02
4.660000000000004e-01	2.498735e+00	-3.910065e-02
4.670000000000004e-01	2.498695e+00	-3.981590e-02
4.680000000000004e-01	2.498655e+00	-4.041195e-02
4.690000000000004e-01	2.498615e+00	-4.100800e-02
4.700000000000004e-01	2.498573e+00	-4.160404e-02
4.710000000000004e-01	2.498531e+00	-4.231930e-02
4.720000000000004e-01	2.498489e+00	-4.291534e-02
4.730000000000004e-01	2.498446e+00	-4.363060e-02
4.740000000000004e-01	2.498401e+00	-4.422665e-02
4.750000000000004e-01	2.498357e+00	-4.482269e-02
4.760000000000004e-01	2.498312e+00	-4.553795e-02
4.770000000000004e-01	2.498266e+00	-4.613400e-02
4.780000000000004e-01	2.498219e+00	-4.684925e-02
4.790000000000004e-01	2.498172e+00	-4.744530e-02
4.800000000000004e-01	2.498125e+00	-4.804134e-02
4.810000000000004e-01	2.498076e+00	-4.875660e-02
4.820000000000004e-01	2.498027e+00	-4.935265e-02
4.830000000000004e-01	2.497977e+00	-4.994869e-02
4.840000000000004e-01	2.497927e+00	-5.066395e-02
4.850000000000004e-01	2.497876e+00	-5.137920e-02
4.860000000000004e-01	2.497824e+00	-5.197525e-02
4.870000000000004e-01	2.497772e+00	-5.269051e-02
4.880000000000004e-01	2.497719e+00	-5.340576e-02
4.890000000000004e-01	2.497665e+00	-5.388260e-02
4.900000000000004e-01	2.497611e+00	-5.459785e-02
4.910000000000004e-01	2.497556e+00	-5.531311e-02
4.920000000000004e-01	2.497501e+00	-5.590916e-02
4.930000000000004e-01	2.497444e+00	-5.662441e-02
4.940000000000004e-01	2.497387e+00	-5.733967e-02
4.950000000000004e-01	2.497330e+00	-5.793571e-02
4.960000000000004e-01	2.497272e+00	-5.853176e-02
4.970000000000004e-01	2.497213e+00	-5.924702e-02
4.980000000000004e-01	2.497153e+00	-5.996227e-02
4.990000000000004e-01	2.497093e+00	-6.067753e-02
5.000000000000003e-01	2.497032e+00	-6.127357e-02
5.010000000000003e-01	2.496970e+00	-6.198883e-02
5.020000000000003e-01	2.496908e+00	-6.270409e-02
5.030000000000003e-01	2.496845e+00	-6.330013e-02
5.040000000000003e-01	2.496781e+00	-6.401539e-02
5.050000000000003e-01	2.496717e+00	-6.461143e-02
5.060000000000003e-01	2.496652e+00	-6.532669e-02
5.070000000000003e-01	2.496586e+00	-6.616116e-02
5.080000000000003e-01	2.496520e+00	-6.675720e-02
5.090000000000003e-01	2.496453e+00	-6.735325e-02
